Boston University,LSM3216,Neuronal Development and Disea,4,GMS MS 783,Molecular Basis of Neurologic Diseases,2
Boston University,LSM3215,Neuronal Signaling and Memory,4,NE 337,Memory Systems of the Brain,4
Boston University,LSM3223,Immunology,4,GMS BT 408,Immunology,4
Boston University,LSM2241,Introductory Bioinformatics,4,ENG BF 527,Applications in Bioinformatics,4
Boston University,LSM4243,Tumour Biology,4,CAS BI 576,Carcinogenesis,4
Boston University,LSM3216,Neuronal Development and Disea,4,CAS BI 455,Developmental Neurobiology,4
Boston University,LSM3215,Neuronal Signaling and Memory,4,CAS BI 445,Cellular and Molecular Neurophysiology,4
Boston University,LSM3233,Developmental Biology,4,CAS BI 410,Developmental Biology (CM),4
Boston University,LSM3267,Behavioural Biology,4,CAS BI 407,Animal Behavior,4
Boston University,LSM3991,Exchange Enrichment Module,4,CAS BI 327,Cancer Biology,4
Boston University,LSM3232,Microbiology,4,CAS BI 311,General Microbiology (CM),4
Boston University,LSM3272,Global Change Biology,4,CAS BI 306,Biology of Global Change (EBE),4
Boston University,LSM3267,Behavioural Biology,4,CAS BI 225,Behavioral Biology,4
Boston University,LSM1303,Animal Behaviour,4,CAS AN 102,"Human Biology, Behavior and Evolution",4
Boston University,CM4991,Exchange Enrichment Module,4,GRS CH635,Synthetic Methodology in Inorganic Chemistry,4
Boston University,CM4242,Advanced Analytical Techniques,4,GRS CH612,Separation Methods in Chemistry and Biochemistry,4
Boston University,CM4227,Chemical Biology,4,GRS CH625,Enzymology: Mechanisms of Enzymatic Reactions,4
Boston University,LSM3991,Exchange Enrichment Module,4,SAR HS 342,Exercise Physiology,4
Boston University,LSM3252,Evolutn & Comparative Genomics,4,CASBI 309,Evolution,4
Boston University,LSM4227,Stem Cell Biology,4,CASBI 551,BIOLOGY OF STEM CELLS,4
Boston University,LSM4235,Nuclear Mechanics and Genome R,4,CASBI 552,Molecular Biology 1,4
Boston University,LSM3991,Exchange Enrichment Module,4,SAR HS 251,HUMAN NUTRITION SCIENCE,4
Boston University,LSM3991,Exchange Enrichment Module,4,SAR HS 395,"FOOD, SUPPLEMENTS AND CONSUMER HEALTH",4
Boston University,LSM3991,Exchange Enrichment Module,4,CASBI 385,Immunology,4
Boston University,LSM3222,Human Neuroanatomy,4,SARHS 370,NEUROANATOMY AND NEUROPHSIOLOGY,4
Boston University,LSM3991,Exchange Enrichment Module,4,CAS BI 530,Forest Ecology,4
Boston University,LSM3991,Exchange Enrichment Module,4,CASI BI 302,Vertebrate Zoology,4
Boston University,LSM3266,Avian Biology and Evolution,4,CAS BI 414,Ornithology,4
Boston University,MA2101,Linear Algebra II,4,CAS MA442,Honors Level Linear Algebra,4
Boston University,MA3227,Numerical Analysis II,4,CAS MA556,Numerical Analysis II,4
Boston University,PC1322,Understanding the Universe,4,CAS AS101,THE SOLAR SYSTEM,4
Boston University,ST4234,Bayesian Statistics,4,CAS MA578,Bayesian Statistics,4
