IE4015,Department Exchange Module
IE4017,Department Exchange Module
IE4044,Exchange Elective
IE4054,Exchange Elective
IE4055,Exchange Elective
IE4056,Exchange Elective
IE4063,Exchange Elective
IE4064,Exchange Elective
IE4065,Exchange Elective
IE4066,Exchange Elective
IE4067,Exchange Elective
IE4068,Exchange Elective
IE4111,Department Exchange Module
IE4112,Department Exchange Module
IE4113,Department Exchange Module
IE4114,Department Exchange Module
IE4115,Department Exchange Module
IE4119,Exchange Elective
IE4120,Exchange Elective
IE4121,Department Exchange Module
IE4122,Department Exchange Module
IE4123,Department Exchange Module
IE4124,Department Exchange Module
IE4125,Department Exchange Module
IE4131,Exchange Elective
IE4210,Operations Research II
IE4211,Modelling & Analytics
IE4220,Supply Chain Modelling
IE4221,Transportation Demand Modeling
IE4230,Quality Engineering II
IE4240,Project Management
IE4241,"Work,Technology & Organization"
IE4242,Cost Analysis And Management
IE4243,Decision Modeling & Risk Analy
IE4502,Exchange Elective
IE4503,Exchange Elective
IE4504,Exchange Elective
IE4505,Exchange Elective
IE4506,Exchange Elective
IE4512,Exchange Elective
IE4513,Exchange Elective
IE4514,Exchange Elective
IE4515,Exchange Elective
IE4516,Exchange Elective
IE4517,Exchange Elective
IE4518,Exchange Elective
IE4519,Exchange Elective
IE4602,Exchange Elective
IE4603,Exchange Elective
IE4604,Exchange Elective
IE4606,Exchange Elective
IE4607,Exchange Elective
IE4608,Exchange Elective
IE4609,Exchange Elective
IE4702,Exchange Elective
IE4703,Exchange Elective
IE4704,Exchange Elective
IE4705,Exchange Elective
IE4706,Exchange Elective
IE4707,Exchange Elective
IE4708,Exchange Elective
IE4709,Exchange Elective
IE4710,Exchange Elective
IE4711,Exchange Elective
IE4714,Exchange Elective
IE4721,Exchange Elective
IE4722,Exchange Elective
IE4731,Exchange Elective
IE4732,Exchange Elective
IE4733,Exchange Elective
IE4734,Exchange Elective
IE4735,Exchange Elective
IE4800,Exchange Elective
IE4879,Technical Elective
IE4880,Technical Elective
IE4881,Exchange Elective
IE4882,Technical Elective
IE4884,Exchange Elective
IE4885,Exchange Elective
IE4887,Exchange Elective
IE4888,Exchange Elective
IE4892,Exchange Elective
IE4912,Exchange Technical Elective
IE4913,Exchange Technical Elective
IE4916,Exchange Elective
IE4984,Exchange Elective
IE4985,Exchange Elective
IE4986,Exchange Elective
IE4987,Exchange Elective
IE4988,Exchange Elective
IE4990,Exchange Elective 10
IE4991,Exchange Elective 1
IE4992,Exchange Elective 2
IE4993,Exchange Elective 3
IE4994,Exchange Elective
IE4995,Exchange Elective 5
IE4997,Exchange Elective
IE4998,Exchange Elective 8
IE4999,Exchange Elective
IE5108,
IE5213,
IE5301,Human Factors In Engineering A
IFS4101,Legal Aspects of Information S
IFS4102,Digital Forensics
IFS4103,Penetration Testing Practice
IS1103,Ethics in Computing
IS2102,Enterprise Systems Architectur
IS3101,Management of Information Syst
IS3103,Information Systems Leadership
IS3106,Enterprise Systems Interface D
IS3150,Digital Media Marketing
IS3221,ERP Systems with Analytics Sol
IS3223,IT and Supply Chain Management
IS3240,Digital Platform Strategy and
IS3251,Principles of Technology Entre
IS3261,Mobile Apps Development for En
IS4100,IT Project Management
IS4151,Pervasive Technology Solutions
IS4204,IT Governance
IS4228,Information Technologies in Fi
IS4231,Information Security Mgmt
IS4232,
IS4233,Legal Aspects of Information T
IS4234,Compliance and Regulation Tech
IS4240,Business Intelligence Systems
IS4241,Social Media Network Analysis
IS4242,Intelligent Systems and Techni
IS4243,Information Systems Consulting
IS4250,IT-enabled Healthcare Solution
IS4260,E-Commerce Business Models
IS4261,Designing IT-enabled Business
IS4302,Blockchain and Distributed Led
IS4303,IT-mediated financial solution
IT1001,Introduction to Computing
IT2002,Database Technology & Mgt
IT3010,Data Management for Business
IT3011,Introduction to Machine Learn
LA4301,Material and Design
LA4701,MLA Studio: Quarter
LA5301,Geo Design
LAC1201,Chinese 1
LAC1721,Department Exchange Module
LAC1731,Department exchange module
LAC2731,Department Exchange Module
LAC3731,Department Exchange Module
LAF1201,French 1
LAF2201,French 2
LAG1201,German 1
LAG2201,German 2
LAG3201,German 3
LAK1201,Korean 1
LAK1721,Department Exchange Module
LAS1201,Spanish 1
LAT4201,Thai 5
LSM1102,
LSM1105,
LSM1106,
LSM1301,General Biology
LSM1303,Animal Behaviour
LSM1306,
LSM1401,Fundamentals of Biochemistry
LSM1991,Exchange Enrichment Module
LSM1992,Exchange Enrichment Module
LSM1996,Exchange Enrichment Level 1000
LSM2191,Laboratory Techniques in Life
LSM2211,Metabolism and Regulation
LSM2212,Human Anatomy
LSM2231,General Physiology
LSM2232,"Genes, Genomes and Biomedical"
LSM2233,Cell Biology
LSM2234,Introduction to Quantitative B
LSM2241,Introductory Bioinformatics
LSM2251,Ecology and Environment
LSM2252,Biodiversity
LSM2253,Applied Data Analysis in Ecolo
LSM2254,Fundamentals of Plant Biology
LSM2291,Fundamental Techniques in Micr
LSM2991,Exchange Enrichment Level 2000
LSM2992,Exchange Enrichment Module
LSM2996,Exchange Enrichment Level 2000
LSM3201,Research and Communication in
LSM3211,Fundamental Pharmacology
LSM3212,Human Physio:Cardiopulmon Syst
LSM3214,Human Physio-Hormones & Hlth
LSM3215,Neuronal Signaling and Memory
LSM3216,Neuronal Development and Disea
LSM3217,Human Ageing
LSM3218,Cardiopulmonary Pharmacology
LSM3219,Neuropharmacology
LSM3222,Human Neuroanatomy
LSM3223,Immunology
LSM3224,Molecular Basis Human Diseases
LSM3225,Molecular Microbiology in HD
LSM3226,Medical Mycology and Drug Disc
LSM3231,Protein Structure and Function
LSM3232,Microbiology
LSM3233,Developmental Biology
LSM3234,Biological Imaging of Growth a
LSM3241,Genomic Data Analysis
LSM3242,Translational Microbiology
LSM3243,Molecular Biophysics
LSM3244,Molecular Biotechnology
LSM3245,RNA Biology and Technology
LSM3246,Synthetic Biology
LSM3252,Evolutn & Comparative Genomics
LSM3254,Ecology of Aquatic Environment
LSM3255,Ecology of Terrestrial Env
LSM3256,Tropical Horticulture
LSM3257,
LSM3258,Comparative Botany
LSM3259,Fungal Biology
LSM3261,
LSM3262,Comparative Animal Physiology
LSM3264,Environmental Biochemistry
LSM3265,Entomology
LSM3266,Avian Biology and Evolution
LSM3267,Behavioural Biology
LSM3272,Global Change Biology
LSM3991,Exchange Enrichment Module
LSM3992,Exchange Enrichment Module
LSM3993,Exchange Enrichment Module
LSM3994,Exchange Enrichment Level 3000
LSM4210,Topics in Biomedical Science
LSM4211,Toxicology
LSM4213,Systems Neurobiology
LSM4214,Cancer Pharmacology
LSM4221,Drug Discovery&Clinical Trials
LSM4222,Advanced Immunology
LSM4223,Advances in Antimicrobial Stra
LSM4227,Stem Cell Biology
LSM4228,Experimental Models for Human
LSM4229,Therapeutic and diagnostic age
LSM4231,Structural Biology
LSM4232,Advanced Cell Biology
LSM4234,Mechanobiology
LSM4235,Nuclear Mechanics and Genome R
LSM4241,Functional Genomics
LSM4242,Protein Engineering
LSM4243,Tumour Biology
LSM4244,Oncogenes & Signal Transductn
LSM4245,Advanced Epigenetics and Chrom
LSM4252,Reproductive Biology
LSM4253,
